ID,,Timestamp,,Packet,Analog,SHT31D,,AS5311,Displacement_mm,Displacement_um,Difference_mm,Difference_um,Status,VPD,RSSI,Button,
name,instance,date,time,Number,Vbat,temp,humid,Serial_Value,mm,um,mm,um,Color,VPD,RSSI,Pressed?,
Dendro,1,2022/6/2,2:33:59,1,4.19,24.59,33.61,1130,-0.00,-1.47,-0.00,-1.47,Green,2.05,0.00,1,
Dendro,1,2022/6/2,2:49:5,2,4.19,23.69,37.12,1122,-0.01,-5.37,-0.00,-3.91,Green,1.84,0.00,1,
Dendro,1,2022/6/2,3:4:23,3,4.19,22.76,39.28,1122,-0.01,-5.37,0.00,0.00,Green,1.68,-97.00,0,
Dendro,1,2022/6/2,3:19:26,4,4.19,22.31,47.71,1122,-0.01,-5.37,0.00,0.00,Green,1.41,-97.00,0,
Dendro,1,2022/6/2,3:34:29,5,4.19,20.88,51.70,1123,-0.00,-4.88,0.00,0.49,Green,1.19,-97.00,0,
Dendro,1,2022/6/2,3:49:32,6,4.19,20.61,52.60,1123,-0.00,-4.88,0.00,0.00,Green,1.15,-97.00,0,
Dendro,1,2022/6/2,4:4:35,7,4.19,19.33,57.72,1126,-0.00,-3.42,0.00,1.47,Green,0.95,-97.00,0,
Dendro,1,2022/6/2,4:19:38,8,4.19,18.22,63.18,1126,-0.00,-3.42,0.00,0.00,Green,0.77,-97.00,0,
Dendro,1,2022/6/2,4:34:41,9,4.18,17.91,62.39,1128,-0.00,-2.44,0.00,0.98,Green,0.77,-97.00,0,
Dendro,1,2022/6/2,4:49:44,10,4.19,18.01,61.81,1127,-0.00,-2.93,-0.00,-0.49,Green,0.79,-97.00,0,
Dendro,1,2022/6/2,5:4:47,11,4.18,18.13,62.87,1127,-0.00,-2.93,0.00,0.00,Green,0.77,-97.00,0,
Dendro,1,2022/6/2,5:19:50,12,4.18,18.12,62.18,1127,-0.00,-2.93,0.00,0.00,Green,0.79,-97.00,0,
Dendro,1,2022/6/2,5:34:53,13,4.19,16.49,69.00,1128,-0.00,-2.44,0.00,0.49,Green,0.58,-97.00,0,
Dendro,1,2022/6/2,5:49:56,14,4.18,15.77,71.84,1131,-0.00,-0.98,0.00,1.47,Green,0.50,-97.00,0,
Dendro,1,2022/6/2,6:4:59,15,4.18,15.61,71.58,1133,0.00,0.00,0.00,0.98,Green,0.50,-97.00,0,
Dendro,1,2022/6/2,6:20:2,16,4.18,15.28,73.48,1132,-0.00,-0.49,-0.00,-0.49,Green,0.46,-97.00,0,
Dendro,1,2022/6/2,6:35:5,17,4.18,15.56,72.00,1133,0.00,0.00,0.00,0.49,Green,0.49,-97.00,0,
Dendro,1,2022/6/2,6:50:8,18,4.18,15.09,73.68,1132,-0.00,-0.49,-0.00,-0.49,Green,0.45,-97.00,0,
Dendro,1,2022/6/2,7:5:26,19,4.18,15.81,68.65,1132,-0.00,-0.49,0.00,0.00,Green,0.56,-96.00,0,
Dendro,1,2022/6/2,7:20:29,20,4.18,16.11,67.97,1131,-0.00,-0.98,-0.00,-0.49,Green,0.59,-96.00,0,
Dendro,1,2022/6/2,7:35:32,21,4.18,16.66,65.78,1132,-0.00,-0.49,0.00,0.49,Green,0.65,-96.00,0,
Dendro,1,2022/6/2,7:50:35,22,4.18,17.05,64.92,1131,-0.00,-0.98,-0.00,-0.49,Green,0.68,-96.00,0,
Dendro,1,2022/6/2,8:5:38,23,4.18,15.63,71.13,1128,-0.00,-2.44,-0.00,-1.47,Green,0.51,-96.00,0,
Dendro,1,2022/6/2,8:20:41,24,4.18,15.12,73.42,1128,-0.00,-2.44,0.00,0.00,Green,0.46,-96.00,0,
Dendro,1,2022/6/2,8:35:44,25,4.18,15.45,71.49,1128,-0.00,-2.44,0.00,0.00,Green,0.50,-96.00,0,
Dendro,1,2022/6/2,8:50:47,26,4.18,14.92,73.74,1129,-0.00,-1.95,0.00,0.49,Green,0.45,-96.00,0,
Dendro,1,2022/6/2,9:5:50,27,4.18,13.59,79.64,1129,-0.00,-1.95,0.00,0.00,Green,0.32,-96.00,0,
Dendro,1,2022/6/2,9:20:53,28,4.18,13.45,80.13,1129,-0.00,-1.95,0.00,0.00,Green,0.31,-96.00,0,
Dendro,1,2022/6/2,9:35:56,29,4.18,13.08,81.82,1130,-0.00,-1.47,0.00,0.49,Green,0.27,-96.00,0,
Dendro,1,2022/6/2,9:50:59,30,4.18,13.46,80.73,1130,-0.00,-1.47,0.00,0.00,Green,0.30,-96.00,0,
Dendro,1,2022/6/2,10:6:2,31,4.18,12.79,84.18,1130,-0.00,-1.47,0.00,0.00,Green,0.23,-96.00,0,
Dendro,1,2022/6/2,10:21:5,32,4.18,13.80,81.08,1130,-0.00,-1.47,0.00,0.00,Green,0.30,-96.00,0,
Dendro,1,2022/6/2,10:36:8,33,4.18,13.59,81.35,1129,-0.00,-1.95,-0.00,-0.49,Green,0.29,-96.00,0,
Dendro,1,2022/6/2,10:51:11,34,4.18,13.39,83.94,1129,-0.00,-1.95,0.00,0.00,Green,0.25,-96.00,0,
Dendro,1,2022/6/2,11:6:29,35,4.18,13.39,82.17,1128,-0.00,-2.44,-0.00,-0.49,Green,0.27,-97.00,0,
